FECHA,QH0889,QH0894,PM0141,PM0501,PM0431,SST,SPI M0141,SPI M0501,SPI M0431
01-06-99,129.43,24.61,102.37,211.80,116.90,27.29,0.00,0.51,0.00
01-07-99,146.98,58.89,113.00,179.50,140.30,26.64,0.24,0.15,0.42
01-08-99,96.41,58.89,95.70,145.10,128.10,25.99,-0.13,-0.24,0.20
01-09-99,108.68,58.89,127.70,56.10,28.10,26.86,0.55,-1.23,-1.56
01-10-99,64.15,58.89,63.40,66.80,79.80,26.25,-0.81,-1.11,-0.65
01-11-99,34.64,58.89,43.90,85.10,70.41,26.49,-1.22,-0.91,-0.89
01-12-99,33.23,58.89,179.10,141.50,107.96,26.69,1.63,-0.28,-0.26
01-01-00,45.71,66.62,105.26,102.40,44.90,26.83,0.00,-0.71,-1.26
01-02-00,52.81,53.96,207.00,95.90,61.70,27.14,2.22,-0.79,-0.97
01-03-00,62.40,67.69,150.50,203.60,81.70,27.49,1.03,0.42,-0.62
01-04-00,86.39,46.70,191.00,268.50,123.60,28.00,1.88,1.14,0.12
01-05-00,69.43,58.74,223.70,197.80,186.30,28.11,2.57,0.35,1.23
01-06-00,76.67,58.74,103.10,214.80,132.60,27.53,0.03,0.54,0.28
01-07-00,76.68,58.74,61.80,208.40,81.40,27.14,-0.84,0.47,-0.62
01-08-00,85.05,58.74,68.30,75.90,124.10,26.61,-0.71,-1.01,0.13
01-09-00,96.01,58.74,214.10,189.93,124.80,26.41,2.37,0.27,0.14
01-10-00,62.19,58.74,48.90,142.20,57.60,26.43,-1.12,-0.21,-1.04
01-11-00,55.35,58.74,35.60,139.99,47.70,26.67,-1.40,-0.23,-1.21
01-12-00,74.11,58.74,50.30,152.27,69.10,26.71,-1.09,-0.11,-0.84
01-01-01,49.18,29.44,151.10,109.20,34.80,26.75,1.04,-0.64,-1.44
01-02-01,45.53,46.20,87.10,231.80,91.60,26.87,-0.31,0.73,-0.44
01-03-01,81.89,85.26,165.80,197.90,84.30,27.13,1.35,0.35,-0.57
01-04-01,79.73,47.56,123.00,233.80,191.40,27.54,0.45,0.75,1.32
01-05-01,103.16,110.24,107.60,171.96,93.40,27.59,0.12,0.10,-0.41
01-06-01,225.03,46.79,139.80,217.43,244.70,27.97,0.80,0.53,2.25
01-07-01,97.42,66.50,94.90,178.01,105.70,26.42,-0.15,0.13,-0.19
01-08-01,97.42,45.04,89.30,171.31,100.40,26.78,-0.26,0.07,-0.29
01-09-01,97.42,19.81,65.30,156.88,83.00,26.75,-0.77,-0.05,-0.59
01-10-01,97.42,22.71,39.30,132.92,30.10,26.12,-1.32,-0.25,-1.52
01-11-01,97.42,30.30,95.61,150.10,49.40,26.13,0.00,-0.09,-1.18
01-12-01,97.42,49.99,98.23,155.86,51.00,26.16,0.00,-0.05,-1.16
01-01-02,66.08,28.65,82.70,172.50,70.90,26.36,-0.40,0.07,-0.81
01-02-02,44.80,18.54,90.90,194.60,134.60,26.64,-0.23,0.32,0.32
01-03-02,30.85,28.97,116.70,170.12,107.10,27.33,0.31,0.04,-0.17
01-04-02,47.86,64.28,128.00,178.60,104.10,27.88,0.55,0.13,-0.22
01-05-02,47.40,79.76,126.80,204.10,161.80,27.95,0.53,0.38,0.79
01-06-02,47.40,43.31,57.50,173.55,152.60,27.42,-0.93,0.05,0.63
01-07-02,47.40,66.17,83.40,193.18,153.60,27.37,-0.39,0.26,0.65
01-08-02,47.40,51.08,59.70,167.92,112.80,26.74,-0.89,0.02,-0.07
01-09-02,47.40,19.39,93.15,142.69,49.60,26.69,0.00,-0.18,-1.18
01-10-02,47.40,35.29,155.10,188.31,149.10,27.37,1.12,0.25,0.57
01-11-02,47.40,57.93,121.10,194.76,156.40,27.33,0.41,0.31,0.70
01-12-02,47.40,37.88,105.10,171.54,77.90,27.39,0.07,0.10,-0.68
01-01-03,65.12,23.22,37.50,282.00,68.50,27.39,-1.36,1.29,-0.85
01-02-03,69.36,17.96,46.80,92.70,50.70,27.64,-1.16,-0.82,-1.16
01-03-03,67.59,24.41,87.00,285.60,68.90,28.24,-0.31,1.33,-0.84
01-04-03,201.48,65.84,138.50,270.00,64.60,28.91,0.77,1.16,-0.92
01-05-03,187.74,139.44,135.30,498.90,204.30,28.65,0.71,3.71,1.54
01-06-03,311.11,56.34,96.60,218.60,124.40,28.11,-0.11,0.58,0.14
01-07-03,308.40,60.98,71.90,350.10,129.10,27.76,-0.63,2.05,0.22
01-08-03,49.29,28.77,30.90,293.70,57.10,27.41,-1.50,1.42,-1.05
01-09-03,47.81,27.72,59.60,153.20,84.20,27.36,-0.89,-0.15,-0.57
01-10-03,41.48,28.78,85.20,173.80,58.80,27.54,-0.35,0.08,-1.02
01-11-03,23.25,27.48,138.00,138.50,123.90,27.63,0.76,-0.31,0.13
01-12-03,115.39,47.00,98.70,152.20,106.10,27.71,-0.07,-0.16,-0.19
01-01-04,156.92,14.65,55.90,24.70,56.90,27.63,-0.97,-1.58,-1.05
01-02-04,126.61,13.80,117.20,124.30,62.50,27.48,0.33,-0.47,-0.95
01-03-04,44.32,44.85,99.40,212.30,179.50,27.37,-0.05,0.51,1.11
01-04-04,60.75,49.14,174.10,272.70,155.10,27.66,1.53,1.19,0.68
01-05-04,58.87,46.36,126.70,536.70,110.50,27.88,0.53,4.14,-0.11
01-06-04,216.43,128.84,120.20,484.10,251.40,27.41,0.39,3.55,2.37
01-07-04,133.53,55.64,74.50,357.50,115.70,26.77,-0.58,2.13,-0.02
01-08-04,84.60,43.86,54.50,129.60,107.60,26.12,-1.00,-0.41,-0.16
01-09-04,49.75,50.28,86.00,236.40,86.40,26.15,-0.33,0.78,-0.53
01-10-04,56.35,42.15,84.00,203.10,112.10,26.17,-0.38,0.41,-0.08
01-11-04,58.82,51.22,128.40,310.20,150.20,26.26,0.56,1.61,0.59
01-12-04,90.94,49.04,140.10,162.23,120.14,26.18,0.81,0.00,0.00
01-01-05,35.75,16.36,59.00,150.72,51.30,26.38,-0.90,0.00,-1.15
01-02-05,100.45,102.42,146.60,157.55,85.70,26.64,0.95,0.00,-0.55
01-03-05,169.51,149.97,219.00,173.29,159.40,26.96,2.47,0.00,0.75
01-04-05,114.30,106.29,115.80,175.93,227.00,27.29,0.30,0.00,1.94
01-05-05,67.55,46.89,91.30,158.05,96.30,27.37,-0.22,0.00,-0.36
01-06-05,174.08,99.43,125.00,175.41,164.90,26.85,0.49,0.00,0.85
01-07-05,115.19,71.62,40.60,162.19,90.20,26.32,-1.29,0.00,-0.47
01-08-05,51.90,36.17,35.70,154.50,44.60,26.42,-1.39,0.00,-1.27
01-09-05,65.93,28.64,43.90,156.38,78.90,25.81,-1.22,0.00,-0.66
01-10-05,99.41,44.23,55.80,153.31,43.80,25.88,-0.97,0.00,-1.28
01-11-05,99.41,37.92,73.60,161.38,158.40,25.89,-0.59,0.00,0.73
01-12-05,99.41,67.80,210.90,167.31,122.54,25.96,2.30,0.00,0.00
01-01-06,92.13,34.36,122.70,219.80,70.80,26.61,0.44,0.60,-0.81
01-02-06,88.92,111.24,126.10,208.30,72.00,26.26,0.51,0.47,-0.79
01-03-06,78.25,61.66,174.90,233.30,55.70,26.80,1.54,0.75,-1.07
01-04-06,57.34,110.95,164.50,433.70,115.20,27.13,1.32,2.99,-0.03
01-05-06,69.78,38.67,76.70,205.90,101.20,27.24,-0.53,0.44,-0.27
01-06-06,95.12,39.33,89.70,349.20,137.00,26.93,-0.26,2.04,0.36
01-07-06,100.83,41.52,40.50,193.60,70.60,26.30,-1.29,0.30,-0.81
01-08-06,61.13,30.88,65.70,173.20,70.10,26.99,-0.76,0.08,-0.82
01-09-06,48.92,25.87,54.60,117.00,85.70,26.71,-1.00,-0.55,-0.55
01-10-06,45.43,20.79,57.00,132.50,60.20,26.26,-0.95,-0.38,-0.99
01-11-06,38.73,34.05,190.40,79.00,68.00,26.56,1.87,-0.98,-0.86
01-12-06,59.94,60.68,141.50,174.70,108.70,26.74,0.84,0.09,-0.14
01-01-07,107.58,35.76,106.80,236.10,83.60,26.92,0.11,0.78,-0.58
01-02-07,55.47,21.60,36.30,32.10,59.50,27.15,-1.38,-1.50,-1.01
01-03-07,62.01,47.69,167.00,264.00,94.60,27.58,1.38,1.09,-0.39
01-04-07,70.95,94.05,170.80,256.10,146.60,27.75,1.46,1.00,0.53
01-05-07,86.93,89.60,107.50,312.80,111.10,27.97,0.12,1.64,-0.10
01-06-07,185.80,193.66,209.30,386.70,235.50,27.68,2.27,2.46,2.09
01-07-07,65.19,29.88,35.30,216.30,74.50,27.26,-1.40,0.56,-0.74
01-08-07,100.64,59.85,104.70,178.00,141.80,26.84,0.06,0.13,0.44
01-09-07,72.04,37.60,58.70,158.50,95.60,26.83,-0.91,-0.09,-0.37
01-10-07,44.49,38.19,115.40,246.40,128.60,27.21,0.29,0.89,0.21
01-11-07,103.44,61.67,147.20,360.90,106.60,27.28,0.96,2.17,-0.18
01-12-07,44.87,44.43,107.50,114.70,88.20,27.53,0.12,-0.58,-0.50
01-01-08,66.43,41.07,148.20,86.60,103.20,27.59,0.98,-0.89,-0.24
01-02-08,95.80,91.02,223.90,176.70,159.10,27.90,2.58,0.12,0.75
01-03-08,72.39,100.03,158.50,118.80,120.60,28.64,1.20,-0.53,0.07
01-04-08,77.91,94.55,196.80,189.70,109.10,28.39,2.00,0.26,-0.13
01-05-08,65.75,115.36,201.40,318.50,183.50,28.43,2.10,1.70,1.18
01-06-08,74.72,75.67,96.60,148.60,123.20,28.14,-0.11,-0.20,0.11
01-07-08,121.99,92.67,109.40,102.20,128.70,27.67,0.16,-0.72,0.21
01-08-08,94.58,69.60,79.60,167.20,116.40,27.31,-0.47,0.01,0.00
01-09-08,67.83,60.42,82.60,189.60,87.50,27.47,-0.40,0.26,-0.51
01-10-08,58.76,82.16,152.90,108.40,116.60,27.39,1.08,-0.65,0.00
01-11-08,39.10,41.44,121.30,153.72,142.40,27.41,0.41,0.00,0.45
01-12-08,34.50,78.54,70.80,153.36,92.40,27.48,-0.65,0.00,-0.43
01-01-09,63.39,63.81,169.30,160.90,124.10,27.36,1.42,-0.06,0.13
01-02-09,62.16,58.11,110.50,77.00,60.90,27.47,0.18,-1.00,-0.98
01-03-09,68.85,54.46,106.00,176.20,68.40,27.75,0.09,0.11,-0.85
01-04-09,92.12,63.50,127.90,147.00,158.00,28.15,0.55,-0.22,0.73
01-05-09,75.56,74.25,74.00,199.20,100.20,28.20,-0.59,0.37,-0.29
01-06-09,94.62,65.91,100.50,177.10,125.60,27.58,-0.03,0.12,0.16
01-07-09,131.84,60.11,81.00,201.20,146.50,26.93,-0.44,0.39,0.52
01-08-09,93.50,47.18,60.50,166.70,141.00,26.57,-0.87,0.00,0.43
01-09-09,64.30,30.85,96.35,32.40,76.20,26.57,0.00,-1.50,-0.71
01-10-09,61.92,24.38,97.20,194.80,88.70,26.59,-0.10,0.32,-0.49
01-11-09,40.25,16.01,77.00,72.20,33.50,26.68,-0.52,-1.05,-1.46
01-12-09,79.32,23.88,96.70,146.50,65.90,26.82,-0.11,-0.22,-0.89
01-01-10,73.94,20.54,68.10,91.20,69.20,27.18,-0.71,-0.84,-0.84
01-02-10,76.09,49.90,136.90,106.30,85.00,27.53,0.74,-0.67,-0.56
01-03-10,70.49,25.06,80.00,130.20,66.00,28.32,-0.46,-0.40,-0.89
01-04-10,68.97,50.44,109.60,181.60,170.10,28.43,0.16,0.17,0.94
01-05-10,101.02,55.81,126.90,371.00,141.40,28.52,0.53,2.29,0.44
01-06-10,153.76,83.85,111.00,250.30,176.90,27.84,0.19,0.94,1.06
01-07-10,133.19,58.51,84.00,98.80,168.10,27.28,-0.38,-0.75,0.90
01-08-10,44.98,43.03,39.50,30.80,62.60,26.82,-1.31,-1.51,-0.95
01-09-10,45.85,27.67,38.30,26.10,52.50,26.72,-1.34,-1.57,-1.13
01-10-10,24.47,18.82,36.10,178.10,85.20,26.76,-1.39,0.13,-0.55
01-11-10,16.80,21.92,48.10,120.40,111.60,26.93,-1.13,-0.51,-0.09
01-12-10,18.01,39.19,85.80,154.16,132.90,27.66,-0.34,0.00,0.29
01-01-11,25.06,47.72,115.30,181.30,117.20,27.19,0.28,0.17,0.01
01-02-11,55.59,72.83,83.30,127.30,54.90,27.41,-0.39,-0.44,-1.09
01-03-11,29.79,39.60,75.60,130.10,106.10,27.89,-0.55,-0.41,-0.19
01-04-11,74.25,121.27,215.90,328.90,191.80,28.30,2.41,1.82,1.32
01-05-11,61.37,103.97,112.10,269.80,173.70,28.37,0.22,1.16,1.00
01-06-11,89.31,90.62,108.61,191.10,120.60,28.13,0.00,0.28,0.07
01-07-11,196.17,158.81,135.00,418.30,247.90,27.60,0.70,2.81,2.31
01-08-11,61.01,30.95,53.60,132.10,112.10,27.22,-1.02,-0.38,-0.08
01-09-11,93.61,69.98,81.50,175.80,152.90,27.19,-0.43,0.11,0.64
01-10-11,48.07,51.80,101.60,139.20,64.70,27.50,0.00,-0.30,-0.91
01-11-11,34.69,68.37,122.00,151.50,124.30,27.64,0.43,-0.17,0.13
01-12-11,66.29,77.81,111.50,169.20,141.70,27.79,0.20,0.03,0.44
01-01-12,92.72,75.09,130.30,222.60,91.90,29.00,0.60,0.63,-0.44
01-02-12,88.49,91.80,129.50,224.30,114.60,28.85,0.58,0.65,-0.04
01-03-12,111.15,74.87,91.30,357.10,100.00,28.29,-0.22,2.13,-0.29
01-04-12,123.47,86.96,70.60,315.20,97.30,28.52,-0.66,1.66,-0.34
01-05-12,103.81,67.27,55.10,157.10,139.40,28.55,-0.99,-0.10,0.40
01-06-12,130.24,74.32,60.30,167.60,146.50,27.94,-0.88,0.01,0.52
01-07-12,130.98,51.87,44.20,175.40,120.70,27.20,-1.22,0.10,0.07
01-08-12,66.07,48.35,52.10,68.00,109.40,26.88,-1.05,-1.10,-0.13
01-09-12,41.89,28.55,22.50,184.70,43.90,26.98,-1.67,0.20,-1.28
01-10-12,50.54,33.74,80.20,152.40,65.00,27.88,-0.46,-0.16,-0.91
01-11-12,68.43,33.70,102.10,101.50,33.20,27.46,0.01,-0.72,-1.47
01-12-12,91.62,22.73,58.90,100.30,78.70,27.18,-0.91,-0.74,-0.67
01-01-13,141.09,36.17,69.10,158.00,132.90,27.24,-0.69,-0.09,0.29
01-02-13,98.93,48.22,85.10,210.30,90.30,27.42,-0.35,0.49,-0.46
01-03-13,84.83,37.50,69.70,221.20,78.00,27.43,-0.68,0.61,-0.68
01-04-13,64.21,28.69,36.80,173.00,47.20,27.71,-1.37,0.07,-1.22
01-05-13,94.68,39.94,148.70,142.50,112.20,27.80,0.99,-0.27,-0.08
01-06-13,175.60,88.29,107.60,283.40,160.10,27.54,0.12,1.31,0.76
01-07-13,145.08,54.92,101.90,167.60,145.70,26.94,0.00,0.01,0.51
01-08-13,87.06,34.73,41.50,107.00,98.60,26.26,-1.27,-0.66,-0.32
01-09-13,51.58,33.82,32.80,107.80,77.30,26.32,-1.46,-0.65,-0.69
01-10-13,69.95,13.83,71.50,125.40,122.70,26.44,-0.64,-0.46,0.11
01-11-13,28.75,12.40,26.30,151.90,89.40,26.68,-1.59,-0.16,-0.48
01-12-13,50.12,38.96,58.10,96.90,46.00,26.70,-0.92,-0.78,-1.24
01-01-14,65.00,25.68,86.10,123.50,144.80,26.86,-0.33,-0.48,0.49
01-02-14,60.55,13.35,47.90,129.60,62.80,27.15,-1.14,-0.41,-0.95
01-03-14,125.42,50.19,139.80,198.40,178.80,27.70,0.80,0.36,1.09
01-04-14,95.93,63.50,69.30,218.00,132.40,28.25,-0.69,0.58,0.28
01-05-14,115.63,76.64,119.00,297.20,182.40,27.81,0.36,1.46,1.16
01-06-14,190.30,77.80,66.00,244.10,163.40,27.46,-0.76,0.87,0.82
01-07-14,180.28,74.12,68.80,140.80,171.90,26.96,-0.70,-0.29,0.97
01-08-14,96.26,48.40,52.50,105.70,187.40,26.67,-1.04,-0.68,1.24
01-09-14,47.67,24.67,83.50,201.00,92.10,26.62,-0.39,0.39,-0.43
01-10-14,54.89,59.89,106.60,99.90,178.10,26.78,0.10,-0.74,1.08
01-11-14,36.62,25.22,73.20,108.10,78.70,26.92,-0.60,-0.65,-0.67
01-12-14,56.66,29.94,53.90,175.70,60.60,27.14,-1.01,0.10,-0.99
01-01-15,115.94,44.62,96.80,250.00,131.10,27.67,-0.11,0.93,0.25
01-02-15,104.32,33.79,38.00,383.50,114.90,27.33,-1.35,2.43,-0.03
01-03-15,122.00,62.09,110.30,136.70,158.10,27.58,0.18,-0.33,0.73
01-04-15,203.69,95.07,110.20,228.80,159.20,27.89,0.18,0.70,0.75
01-05-15,150.57,58.87,48.10,53.10,169.60,27.99,-1.13,-1.27,0.93
01-06-15,139.30,114.58,95.00,131.50,300.90,27.77,-0.14,-0.39,3.24
01-07-15,139.30,102.54,103.50,223.20,227.90,27.28,0.04,0.64,1.96
01-08-15,139.30,48.98,49.00,91.20,105.50,26.85,-1.11,-0.84,-0.20
01-09-15,139.30,36.40,30.40,126.90,52.60,26.70,-1.51,-0.44,-1.13
01-10-15,139.30,45.36,96.60,135.90,132.50,26.99,-0.11,-0.34,0.28
01-11-15,139.30,24.90,51.40,149.70,96.00,27.30,-1.06,-0.19,-0.36
01-12-15,139.30,23.31,31.60,126.50,68.20,27.78,-1.48,-0.45,-0.85
01-01-16,59.85,13.24,58.40,161.00,34.00,27.24,-0.92,-0.06,-1.46
01-02-16,66.00,31.33,87.20,218.10,146.10,27.38,-0.31,0.58,0.52
01-03-16,77.25,22.29,134.90,267.10,145.30,27.69,0.70,1.13,0.50
01-04-16,118.20,22.29,152.80,356.20,225.80,28.15,1.08,2.12,1.92
01-05-16,109.59,22.29,106.80,334.90,159.10,28.43,0.11,1.88,0.75
01-06-16,141.10,22.29,122.40,221.50,295.90,27.96,0.43,0.62,3.15
01-07-16,91.64,22.29,46.70,169.20,127.70,27.34,-1.16,0.03,0.19
01-08-16,73.86,22.29,36.40,189.80,95.50,27.70,-1.38,0.26,-0.37
01-09-16,71.26,22.29,68.90,163.70,101.70,27.11,-0.69,-0.03,-0.26
01-10-16,51.48,22.29,66.90,128.10,71.80,27.25,-0.74,-0.43,-0.79
01-11-16,46.91,22.29,42.90,165.20,35.10,27.49,-1.24,-0.01,-1.44
01-12-16,47.13,22.29,104.30,110.90,57.90,27.49,0.05,-0.62,-1.03
01-01-17,7.38,83.67,86.30,187.00,89.40,27.52,-0.33,0.23,-0.48
01-02-17,7.38,79.62,98.80,147.30,68.20,27.79,-0.06,-0.21,-0.85
01-03-17,7.38,51.10,169.60,219.20,117.70,27.95,1.43,0.59,0.02
01-04-17,7.38,63.33,107.60,201.10,79.90,27.96,0.12,0.39,-0.65
01-05-17,7.38,20.63,122.20,65.40,120.30,28.41,0.43,-1.13,0.06
01-06-17,7.38,17.84,78.50,191.30,65.00,27.90,-0.49,0.28,-0.91
01-07-17,53.25,27.35,69.80,123.40,116.50,27.47,-0.68,-0.48,0.00
01-08-17,53.25,9.23,30.30,166.50,94.20,27.15,-1.51,0.00,-0.40
01-09-17,53.25,8.42,35.10,155.40,85.50,27.17,-1.41,-0.12,-0.55
01-10-17,53.25,40.13,86.60,161.80,196.30,27.32,-0.32,-0.05,1.40
01-11-17,53.25,40.13,78.90,134.50,103.30,27.67,-0.48,-0.36,-0.24
01-12-17,53.25,40.13,53.70,161.80,103.30,27.67,-1.01,-0.05,-0.24
01-01-18,7.38,34.11,95.75,134.13,117.80,27.72,-0.06,-0.22,-0.16
01-02-18,7.38,14.22,128.65,164.00,281.80,28.00,0.46,0.06,2.42
01-03-18,7.38,11.84,97.73,160.64,98.26,28.36,-0.01,0.03,-0.49
01-04-18,7.38,43.03,113.16,174.43,110.37,28.81,0.27,0.16,-0.31
01-05-18,7.38,53.63,114.28,168.91,115.70,28.79,0.29,0.11,-0.20
01-06-18,61.78,41.29,105.03,174.37,121.43,28.38,0.12,0.15,-0.05
01-07-18,61.78,41.29,100.25,152.02,115.60,27.80,0.01,-0.06,-0.15
01-08-18,61.78,41.29,96.42,134.98,114.03,27.53,-0.07,-0.23,-0.17
01-09-18,61.78,41.29,96.79,139.45,112.94,27.61,-0.05,-0.18,-0.19
01-10-18,61.78,41.29,96.10,131.59,111.53,27.73,-0.07,-0.25,-0.21
01-11-18,61.78,41.29,96.70,138.36,109.80,27.83,-0.06,-0.18,-0.26
01-12-18,61.78,41.29,99.03,137.36,105.97,27.86,-0.01,-0.18,-0.34
