FECHA,QH0889,QH0894,PM0141,PM0501,PM0431,SST,SPI M0141,SPI M0501,SPI M0431,Year,Month,Day,DayOfWeek,Hour
1980-01-01,54.52,15.78,119.3,245.5,105.94,27.16,0.37,0.88,-0.3,1980,1,1,1,0
1980-02-01,54.67,30.41,120.2,31.4,92.91,27.57,0.39,-1.51,-0.51,1980,2,1,4,0
1980-03-01,120.46,37.04,128.8,161.2,118.66,27.85,0.57,-0.06,-0.06,1980,3,1,5,0
1980-04-01,110.47,85.36,156.6,224.3,138.17,28.18,1.16,0.65,0.25,1980,4,1,1,0
1980-05-01,92.28,46.1,75.3,82.8,103.27,28.17,-0.56,-0.93,-0.28,1980,5,1,3,0
1980-06-01,153.65,63.71,91.0,178.7,123.51,27.86,-0.23,0.14,0.04,1980,6,1,6,0
1980-07-01,141.59,80.77,116.0,154.0,128.45,27.37,0.3,-0.14,0.12,1980,7,1,1,0
1980-08-01,65.98,39.99,69.0,168.3,97.58,26.92,-0.69,0.02,-0.42,1980,8,1,4,0
1980-09-01,74.51,38.7,46.4,189.5,88.05,26.87,-1.17,0.26,-0.59,1980,9,1,0,0
1980-10-01,78.25,68.73,157.9,345.7,127.23,26.86,1.18,2.0,0.04,1980,10,1,2,0
1980-11-01,57.88,46.31,172.9,103.8,118.84,27.26,1.5,-0.7,-0.1,1980,11,1,5,0
1980-12-01,56.1,39.16,111.3,19.9,99.12,27.16,0.2,-1.64,-0.42,1980,12,1,0,0
1981-01-01,41.52,27.34,54.8,29.9,77.85,27.15,-0.99,-1.52,-0.76,1981,1,1,3,0
1981-02-01,82.59,52.75,168.0,141.2,128.54,27.28,1.4,-0.28,0.07,1981,2,1,6,0
1981-03-01,79.13,61.74,250.1,97.4,143.81,27.65,3.13,-0.77,0.31,1981,3,1,6,0
1981-04-01,91.65,57.94,145.4,130.0,133.96,27.85,0.92,-0.41,0.21,1981,4,1,2,0
1981-05-01,54.31,51.65,114.5,140.1,123.01,27.98,0.27,-0.29,0.03,1981,5,1,4,0
1981-06-01,106.14,48.13,88.3,100.8,121.69,27.42,-0.28,-0.73,0.02,1981,6,1,0,0
1981-07-01,90.24,44.2,89.5,99.3,117.01,26.82,-0.26,-0.75,-0.07,1981,7,1,2,0
1981-08-01,53.67,33.33,64.3,121.8,98.97,26.3,-0.79,-0.5,-0.4,1981,8,1,5,0
1981-09-01,39.96,33.0,64.1,158.6,96.75,26.3,-0.8,-0.09,-0.46,1981,9,1,1,0
1981-10-01,40.81,32.43,73.8,83.3,89.12,26.32,-0.59,-0.93,-0.57,1981,10,1,3,0
1981-11-01,30.06,30.14,33.0,157.7,73.59,26.33,-1.45,-0.1,-0.93,1981,11,1,6,0
1981-12-01,54.81,54.71,144.7,142.02,121.55,26.49,0.91,-0.19,-0.06,1981,12,1,1,0
1982-01-01,37.35,43.51,102.4,89.9,131.2,26.57,0.01,-0.85,0.26,1982,1,1,4,0
1982-02-01,35.32,28.1,60.8,63.0,76.1,26.85,-0.86,-1.15,-0.71,1982,2,1,0,0
1982-03-01,50.7,43.97,89.1,225.2,80.7,27.43,-0.27,0.66,-0.63,1982,3,1,0,0
1982-04-01,70.06,60.27,144.1,299.9,81.4,27.82,0.89,1.49,-0.62,1982,4,1,3,0
1982-05-01,89.29,60.81,178.1,178.0,126.8,27.99,1.61,0.13,0.18,1982,5,1,5,0
1982-06-01,83.16,38.0,53.9,271.5,114.72,27.49,-1.01,1.17,-0.13,1982,6,1,1,0
1982-07-01,103.97,51.09,111.4,211.7,131.92,26.79,0.2,0.51,0.15,1982,7,1,3,0
1982-08-01,91.15,37.99,79.1,97.6,108.27,26.33,-0.48,-0.77,-0.23,1982,8,1,6,0
1982-09-01,58.91,42.98,118.8,206.4,119.74,26.22,0.36,0.45,-0.07,1982,9,1,2,0
1982-10-01,49.69,45.24,171.6,108.0,117.68,26.24,1.47,-0.65,-0.12,1982,10,1,4,0
1982-11-01,56.59,33.81,85.8,190.3,100.95,26.33,-0.34,0.27,-0.39,1982,11,1,0,0
1982-12-01,63.06,54.72,186.0,137.53,122.68,26.37,1.78,-0.21,-0.04,1982,12,1,2,0
1983-01-01,106.73,64.75,146.9,174.7,117.5,26.45,0.95,0.09,0.01,1983,1,1,5,0
1983-02-01,103.96,64.13,104.9,45.9,193.2,26.59,0.07,-1.35,1.35,1983,2,1,1,0
1983-03-01,93.8,68.54,166.6,241.8,139.1,27.0,1.37,0.84,0.39,1983,3,1,1,0
1983-04-01,67.7,96.25,149.7,222.9,145.3,27.29,1.01,0.63,0.5,1983,4,1,4,0
1983-05-01,99.32,83.37,187.8,271.4,120.8,27.42,1.81,1.17,0.07,1983,5,1,6,0
1983-06-01,78.23,37.67,59.3,131.0,54.0,27.15,-0.9,-0.4,-1.1,1983,6,1,2,0
1983-07-01,74.53,29.4,50.5,110.4,147.2,26.68,-1.08,-0.63,0.54,1983,7,1,4,0
1983-08-01,60.92,38.49,71.1,144.9,111.4,26.45,-0.65,-0.24,-0.09,1983,8,1,0,0
1983-09-01,77.4,36.0,56.9,205.4,109.0,26.4,-0.95,0.44,-0.14,1983,9,1,3,0
1983-10-01,80.16,57.62,140.5,237.8,159.9,26.57,0.82,0.8,0.76,1983,10,1,5,0
1983-11-01,49.09,57.62,77.0,145.2,33.0,26.77,-0.52,-0.24,-1.47,1983,11,1,1,0
1983-12-01,54.66,57.62,156.6,81.5,153.1,26.85,1.16,-0.95,0.64,1983,12,1,3,0
1984-01-01,36.19,31.3,50.2,96.0,134.8,26.92,-1.09,-0.79,0.32,1984,1,1,6,0
1984-02-01,71.31,55.66,179.2,194.0,222.2,27.17,1.63,0.31,1.86,1984,2,1,2,0
1984-03-01,70.26,49.93,142.2,145.8,147.8,27.5,0.85,-0.23,0.55,1984,3,1,3,0
1984-04-01,59.25,93.45,162.6,244.5,253.6,27.89,1.28,0.87,2.41,1984,4,1,6,0
1984-05-01,59.25,58.23,102.7,63.1,253.4,27.99,0.02,-1.15,2.41,1984,5,1,1,0
1984-06-01,59.25,99.05,93.0,181.0,322.6,27.69,-0.19,0.16,3.62,1984,6,1,4,0
1984-07-01,59.25,61.34,77.8,96.4,266.5,27.14,-0.51,-0.78,2.64,1984,7,1,6,0
1984-08-01,59.25,56.34,70.3,240.5,136.3,26.83,-0.66,0.83,0.35,1984,8,1,2,0
1984-09-01,59.25,51.7,119.9,122.1,169.0,26.69,0.38,-0.49,0.92,1984,9,1,5,0
1984-10-01,59.25,45.61,116.8,129.3,101.0,26.78,0.32,-0.41,-0.28,1984,10,1,0,0
1984-11-01,59.25,29.96,82.9,75.5,86.8,26.81,-0.4,-1.02,-0.53,1984,11,1,3,0
1984-12-01,59.25,26.88,71.4,165.7,104.2,27.65,-0.64,-0.01,-0.22,1984,12,1,5,0
1985-01-01,37.07,22.43,67.7,56.2,63.2,27.27,-0.72,-1.23,-0.94,1985,1,1,1,0
1985-02-01,51.01,20.03,43.8,39.2,115.7,27.38,-1.22,-1.42,-0.02,1985,2,1,4,0
1985-03-01,70.17,17.87,27.5,96.5,63.6,27.62,-1.57,-0.78,-0.93,1985,3,1,4,0
1985-04-01,47.15,24.9,129.5,165.6,159.1,28.97,0.58,-0.01,0.75,1985,4,1,0,0
1985-05-01,95.66,41.71,72.6,159.9,204.7,28.14,-0.62,-0.07,1.55,1985,5,1,2,0
1985-06-01,142.84,116.33,90.3,253.4,308.8,27.77,-0.24,0.97,3.38,1985,6,1,5,0
1985-07-01,109.07,92.86,89.8,171.4,334.9,27.35,-0.25,0.06,3.84,1985,7,1,0,0
1985-08-01,106.82,65.66,67.7,202.2,308.5,27.72,-0.72,0.4,3.38,1985,8,1,3,0
1985-09-01,58.86,38.23,53.4,125.5,113.3,27.14,-1.02,-0.46,-0.06,1985,9,1,6,0
1985-10-01,61.0,34.64,71.4,71.3,54.6,27.29,-0.64,-1.06,-1.09,1985,10,1,1,0
1985-11-01,44.45,32.38,82.2,99.6,45.4,27.49,-0.41,-0.75,-1.25,1985,11,1,4,0
1985-12-01,38.6,28.15,127.0,48.3,43.0,27.47,0.53,-1.32,-1.3,1985,12,1,6,0
1986-01-01,56.39,29.36,75.0,16.5,116.8,27.44,-0.57,-1.67,0.0,1986,1,1,2,0
1986-02-01,39.8,32.93,79.3,51.7,142.8,27.63,-0.47,-1.28,0.46,1986,2,1,5,0
1986-03-01,48.97,68.29,100.8,91.8,113.3,27.84,-0.02,-0.83,-0.06,1986,3,1,5,0
1986-04-01,110.33,55.61,153.5,121.6,235.6,28.21,1.09,-0.5,2.09,1986,4,1,1,0
1986-05-01,95.22,54.91,90.1,119.6,229.1,28.36,-0.25,-0.52,1.98,1986,5,1,3,0
1986-06-01,67.15,95.96,54.3,204.3,204.4,27.5,-1.0,0.42,1.54,1986,6,1,6,0
1986-07-01,109.07,31.6,97.4,35.5,264.5,26.71,-0.09,-1.46,2.6,1986,7,1,1,0
1986-08-01,60.71,57.5,26.3,104.6,180.4,26.2,-1.59,-0.69,1.12,1986,8,1,4,0
1986-09-01,74.18,51.98,97.6,54.8,206.6,26.87,-0.09,-1.25,1.58,1986,9,1,0,0
1986-10-01,52.97,51.36,112.2,60.9,249.3,26.21,0.22,-1.18,2.33,1986,10,1,2,0
1986-11-01,58.02,31.26,101.5,63.6,195.4,26.33,-0.01,-1.15,1.39,1986,11,1,5,0
1986-12-01,77.4,50.98,66.6,140.06,94.4,26.5,-0.74,0.0,-0.39,1986,12,1,0,0
1987-01-01,82.69,22.41,66.1,39.7,115.5,26.54,-0.75,-1.42,-0.02,1987,1,1,3,0
1987-02-01,159.2,66.04,114.8,45.8,214.0,26.81,0.27,-1.35,1.71,1987,2,1,6,0
1987-03-01,66.9,65.98,97.1,36.4,167.9,27.39,-0.1,-1.45,0.9,1987,3,1,6,0
1987-04-01,79.98,53.21,147.6,30.6,291.1,28.94,0.97,-1.52,3.07,1987,4,1,2,0
1987-05-01,75.38,87.2,119.2,89.0,200.7,28.19,0.37,-0.86,1.48,1987,5,1,4,0
1987-06-01,85.71,54.54,48.6,67.9,171.4,27.61,-1.12,-1.1,0.96,1987,6,1,0,0
1987-07-01,128.4,66.25,86.4,19.3,185.4,26.93,-0.32,-1.64,1.21,1987,7,1,2,0
1987-08-01,66.56,44.07,68.5,33.1,127.0,26.56,-0.7,-1.49,0.18,1987,8,1,5,0
1987-09-01,55.73,44.6,86.8,37.6,140.7,26.41,-0.32,-1.44,0.42,1987,9,1,1,0
1987-10-01,42.78,41.99,94.3,48.9,87.5,26.25,-0.16,-1.31,-0.51,1987,10,1,3,0
1987-11-01,29.62,12.55,97.6,18.0,117.9,26.3,-0.09,-1.66,0.02,1987,11,1,6,0
1987-12-01,50.93,20.1,34.6,21.6,103.0,26.3,-1.42,-1.62,-0.24,1987,12,1,1,0
1988-01-01,58.57,28.53,149.8,26.7,60.7,26.41,1.01,-1.56,-0.99,1988,1,1,4,0
1988-02-01,86.1,53.61,140.9,39.1,132.6,26.5,0.83,-1.42,0.28,1988,2,1,0,0
1988-03-01,70.68,26.82,52.8,26.2,94.8,26.82,-1.03,-1.57,-0.39,1988,3,1,1,0
1988-04-01,76.25,97.13,264.4,70.4,165.6,27.36,3.43,-1.07,0.86,1988,4,1,4,0
1988-05-01,74.71,115.03,102.2,56.8,134.6,26.82,0.01,-1.22,0.32,1988,5,1,6,0
1988-06-01,52.49,76.02,53.2,83.3,83.6,26.29,-1.03,-0.93,-0.58,1988,6,1,2,0
1988-07-01,80.35,89.17,81.8,127.51,37.8,25.8,-0.42,-0.36,-1.39,1988,7,1,4,0
1988-08-01,47.75,58.67,98.13,146.25,119.4,25.48,0.0,-0.17,0.05,1988,8,1,0,0
1988-09-01,34.0,70.66,45.1,141.25,129.2,25.46,-1.2,-0.26,0.22,1988,9,1,3,0
1988-10-01,46.03,95.44,121.4,120.74,26.8,25.79,0.41,-0.41,-1.58,1988,10,1,5,0
1988-11-01,46.05,96.69,163.9,156.29,109.85,25.93,1.31,-0.06,-0.26,1988,11,1,1,0
1988-12-01,30.53,36.8,121.3,134.23,92.58,26.79,0.41,-0.23,-0.55,1988,12,1,3,0
1989-01-01,89.68,81.4,171.2,25.5,73.2,26.23,1.46,-1.57,-0.77,1989,1,1,6,0
1989-02-01,67.63,112.6,175.2,155.9,71.1,26.66,1.55,-0.04,-0.8,1989,2,1,2,0
1989-03-01,57.12,150.28,159.7,179.53,118.6,27.68,1.22,0.19,0.03,1989,3,1,2,0
1989-04-01,70.33,113.19,80.0,146.02,76.0,27.46,-0.46,-0.2,-0.72,1989,4,1,5,0
1989-05-01,114.82,147.68,81.6,164.4,109.1,27.76,-0.43,0.0,-0.13,1989,5,1,0,0
1989-06-01,124.04,162.47,125.1,190.77,161.2,27.41,0.49,0.28,0.78,1989,6,1,3,0
1989-07-01,85.14,150.52,95.0,184.38,145.9,26.83,-0.14,0.18,0.51,1989,7,1,5,0
1989-08-01,64.81,102.65,31.8,135.94,51.4,26.5,-1.48,-0.31,-1.15,1989,8,1,1,0
1989-09-01,51.33,88.13,93.8,133.07,55.7,26.5,-0.17,-0.32,-1.07,1989,9,1,4,0
1989-10-01,72.78,125.16,103.2,164.96,101.9,26.73,0.03,-0.01,-0.26,1989,10,1,6,0
1989-11-01,50.67,86.87,27.2,133.49,42.2,26.97,-1.57,-0.33,-1.31,1989,11,1,2,0
1989-12-01,27.39,45.69,22.7,117.99,17.5,27.2,-1.67,-0.45,-1.75,1989,12,1,4,0
1990-01-01,88.55,26.79,101.5,94.6,96.9,27.14,-0.01,-0.8,-0.35,1990,1,1,0,0
1990-02-01,72.81,53.5,62.7,146.6,62.4,27.27,-0.82,-0.22,-0.96,1990,2,1,3,0
1990-03-01,145.55,64.94,118.8,303.6,136.1,27.62,0.36,1.53,0.34,1990,3,1,3,0
1990-04-01,98.78,111.34,140.5,292.4,139.9,28.12,0.82,1.41,0.41,1990,4,1,6,0
1990-05-01,84.0,71.78,128.4,85.9,85.1,28.23,0.56,-0.9,-0.56,1990,5,1,1,0
1990-06-01,175.93,65.34,89.3,202.6,192.6,27.79,-0.26,0.4,1.34,1990,6,1,4,0
1990-07-01,109.5,30.51,81.8,122.0,87.3,27.14,-0.42,-0.5,-0.52,1990,7,1,6,0
1990-08-01,74.42,44.93,55.1,206.7,140.2,26.84,-0.99,0.45,0.41,1990,8,1,2,0
1990-09-01,60.56,38.09,101.08,170.3,79.1,26.97,0.0,0.04,-0.66,1990,9,1,5,0
1990-10-01,46.55,32.15,153.9,153.5,116.5,27.13,1.1,-0.14,0.0,1990,10,1,0,0
1990-11-01,77.09,53.94,91.2,112.7,93.0,27.37,-0.22,-0.6,-0.42,1990,11,1,3,0
1990-12-01,84.84,53.94,55.7,151.75,73.2,27.58,-0.97,0.0,-0.77,1990,12,1,5,0
1991-01-01,53.26,30.24,42.8,130.4,67.1,27.57,-1.24,-0.4,-0.87,1991,1,1,1,0
1991-02-01,97.56,45.02,63.1,134.9,102.8,27.78,-0.82,-0.35,-0.24,1991,2,1,4,0
1991-03-01,89.39,53.63,126.1,63.8,70.0,28.63,0.51,-1.15,-0.82,1991,3,1,4,0
1991-04-01,71.2,62.47,102.0,186.9,120.4,28.33,0.0,0.23,0.07,1991,4,1,0,0
1991-05-01,79.93,77.18,131.0,273.5,165.2,28.43,0.62,1.2,0.85,1991,5,1,2,0
1991-06-01,103.78,76.74,107.58,289.4,160.3,27.93,0.0,1.37,0.77,1991,6,1,5,0
1991-07-01,124.92,72.04,118.9,209.1,137.4,27.44,0.36,0.48,0.36,1991,7,1,0,0
1991-08-01,72.19,53.93,87.1,141.1,138.6,27.29,-0.31,-0.28,0.39,1991,8,1,3,0
1991-09-01,47.68,34.43,61.7,99.3,62.2,26.93,-0.85,-0.75,-0.96,1991,9,1,6,0
1991-10-01,46.28,36.01,100.4,91.9,69.2,26.65,-0.03,-0.83,-0.84,1991,10,1,1,0
1991-11-01,39.9,37.61,158.6,107.3,84.7,26.9,1.2,-0.66,-0.56,1991,11,1,4,0
1991-12-01,32.84,28.65,88.1,80.1,35.5,26.73,-0.29,-0.96,-1.43,1991,12,1,6,0
1992-01-01,48.7,24.29,40.2,17.7,23.2,26.7,-1.3,-1.66,-1.65,1992,1,1,2,0
1992-02-01,46.9,37.66,109.8,115.8,56.5,26.82,0.17,-0.57,-1.06,1992,2,1,5,0
1992-03-01,92.35,59.11,152.6,162.5,109.9,27.11,1.07,-0.04,-0.12,1992,3,1,6,0
1992-04-01,58.83,54.02,106.9,109.6,105.5,27.56,0.0,-0.63,-0.2,1992,4,1,2,0
1992-05-01,117.26,61.55,88.5,200.3,91.3,27.91,-0.28,0.38,-0.45,1992,5,1,4,0
1992-06-01,120.82,79.02,109.34,193.7,180.3,27.69,0.0,0.31,1.12,1992,6,1,0,0
1992-07-01,59.04,53.84,58.8,111.8,179.6,27.16,-0.91,-0.61,1.11,1992,7,1,2,0
1992-08-01,74.79,36.55,39.6,111.3,65.2,26.83,-1.31,-0.62,-0.91,1992,8,1,5,0
1992-09-01,45.18,37.65,105.34,92.5,87.2,26.9,0.0,-0.83,-0.52,1992,9,1,1,0
1992-10-01,42.68,27.64,106.38,84.2,38.7,27.2,0.0,-0.92,-1.37,1992,10,1,3,0
1992-11-01,62.66,33.34,109.0,208.8,64.6,27.44,0.0,0.47,-0.92,1992,11,1,6,0
1992-12-01,69.93,33.15,89.3,162.6,85.8,27.45,-0.26,-0.04,-0.54,1992,12,1,1,0
1993-01-01,51.97,36.63,130.9,200.6,44.4,27.54,0.61,0.38,-1.27,1993,1,1,4,0
1993-02-01,63.71,48.91,156.7,169.5,119.9,27.52,1.16,0.03,0.06,1993,2,1,0,0
1993-03-01,102.23,98.79,199.2,384.1,191.4,27.67,2.06,2.43,1.32,1993,3,1,0,0
1993-04-01,93.82,67.67,149.2,375.9,134.5,28.28,1.0,2.34,0.31,1993,4,1,3,0
1993-05-01,51.86,49.11,86.5,216.6,91.3,28.38,-0.32,0.56,-0.45,1993,5,1,5,0
1993-06-01,135.74,57.83,83.2,290.9,132.2,27.85,-0.39,1.39,0.27,1993,6,1,1,0
1993-07-01,104.69,67.18,99.5,217.6,204.8,27.26,-0.05,0.57,1.55,1993,7,1,3,0
1993-08-01,86.0,35.68,54.0,217.6,93.5,26.97,-1.01,0.57,-0.41,1993,8,1,6,0
1993-09-01,74.2,38.39,66.3,182.2,58.2,26.99,-0.75,0.18,-1.03,1993,9,1,2,0
1993-10-01,78.33,42.41,73.9,218.2,93.7,27.15,-0.59,0.58,-0.4,1993,10,1,4,0
1993-11-01,58.03,42.21,74.1,84.5,74.9,27.35,-0.58,-0.91,-0.74,1993,11,1,0,0
1993-12-01,98.45,49.12,122.5,27.1,98.5,26.98,0.44,-1.56,-0.32,1993,12,1,2,0
1994-01-01,70.14,38.43,98.2,88.8,46.6,26.85,-0.08,-0.87,-1.23,1994,1,1,5,0
1994-02-01,90.09,41.89,112.6,120.6,106.3,26.89,0.23,-0.51,-0.18,1994,2,1,1,0
1994-03-01,116.1,48.72,175.5,166.1,139.1,27.34,1.56,0.0,0.39,1994,3,1,1,0
1994-04-01,117.28,46.74,164.9,263.7,163.5,27.25,1.33,1.09,0.82,1994,4,1,4,0
1994-05-01,157.58,86.68,120.1,372.8,229.9,27.2,0.39,2.31,1.99,1994,5,1,6,0
1994-06-01,142.51,79.19,122.1,361.2,181.6,26.38,0.43,2.18,1.14,1994,6,1,2,0
1994-07-01,85.73,102.67,120.6,346.5,245.2,25.74,0.4,2.01,2.26,1994,7,1,4,0
1994-08-01,91.96,63.03,143.2,166.24,117.2,25.21,0.87,0.0,0.01,1994,8,1,0,0
1994-09-01,61.49,42.92,96.5,299.8,85.4,25.38,-0.11,1.49,-0.55,1994,9,1,3,0
1994-10-01,49.92,30.68,38.2,199.4,138.8,25.41,-1.34,0.37,0.39,1994,10,1,5,0
1994-11-01,68.9,42.2,110.0,224.9,64.2,25.65,0.17,0.65,-0.92,1994,11,1,1,0
1994-12-01,95.61,43.97,96.2,220.3,122.36,25.65,-0.12,0.6,0.0,1994,12,1,3,0
1995-01-01,65.62,33.2,48.7,169.8,36.4,25.68,-1.12,0.04,-1.41,1995,1,1,6,0
1995-02-01,48.49,34.54,78.7,221.2,41.7,25.99,-0.49,0.61,-1.32,1995,2,1,2,0
1995-03-01,57.33,37.23,112.9,174.0,42.9,26.25,0.23,0.09,-1.3,1995,3,1,2,0
1995-04-01,45.01,38.44,113.7,172.1,141.7,26.63,0.25,0.06,0.44,1995,4,1,5,0
1995-05-01,86.04,51.69,106.45,401.6,152.5,26.73,0.0,2.63,0.63,1995,5,1,0,0
1995-06-01,66.6,51.32,101.75,290.8,126.4,26.33,0.0,1.39,0.17,1995,6,1,3,0
1995-07-01,80.38,56.25,102.05,246.7,142.6,25.94,0.0,0.9,0.46,1995,7,1,5,0
1995-08-01,36.27,37.28,21.9,91.6,44.4,25.73,-1.69,-0.84,-1.27,1995,8,1,1,0
1995-09-01,37.92,44.12,59.5,140.8,67.5,25.72,-0.89,-0.29,-0.87,1995,9,1,4,0
1995-10-01,30.96,48.52,138.3,116.3,40.7,25.98,0.77,-0.56,-1.34,1995,10,1,6,0
1995-11-01,44.64,54.88,155.1,177.9,92.5,26.25,1.12,0.13,-0.43,1995,11,1,2,0
1995-12-01,38.75,56.23,179.7,150.8,113.9,26.35,1.64,-0.17,-0.05,1995,12,1,4,0
1996-01-01,35.0,53.28,120.4,118.1,103.1,26.5,0.39,-0.54,-0.24,1996,1,1,0,0
1996-02-01,59.6,67.12,141.2,135.2,183.9,26.56,0.83,-0.35,1.18,1996,2,1,3,0
1996-03-01,53.79,61.86,190.5,74.6,95.5,27.11,1.87,-1.03,-0.37,1996,3,1,4,0
1996-04-01,58.87,68.94,250.8,81.1,125.6,27.79,3.14,-0.95,0.16,1996,4,1,0,0
1996-05-01,66.93,70.25,168.1,91.9,87.5,28.33,1.4,-0.83,-0.51,1996,5,1,2,0
1996-06-01,64.94,55.47,73.6,46.2,48.2,27.67,-0.59,-1.34,-1.21,1996,6,1,5,0
1996-07-01,98.77,101.78,162.0,175.48,203.8,27.16,1.27,0.11,1.53,1996,7,1,0,0
1996-08-01,73.86,86.03,68.4,134.01,117.2,27.16,-0.7,-0.31,0.01,1996,8,1,3,0
1996-09-01,58.92,86.87,92.7,133.73,101.5,27.0,-0.19,-0.32,-0.27,1996,9,1,6,0
1996-10-01,51.87,82.77,181.2,152.9,109.2,27.2,1.68,-0.08,-0.13,1996,10,1,1,0
1996-11-01,44.25,55.85,37.8,115.29,46.9,27.46,-1.35,-0.54,-1.23,1996,11,1,4,0
1996-12-01,47.89,53.47,63.5,119.12,63.8,27.69,-0.81,-0.47,-0.93,1996,12,1,6,0
1997-01-01,30.4,50.96,118.1,64.2,72.8,27.72,0.34,-1.14,-0.77,1997,1,1,2,0
1997-02-01,101.55,67.94,117.0,141.7,112.5,27.95,0.32,-0.28,-0.07,1997,2,1,5,0
1997-03-01,116.14,78.97,165.8,108.7,156.5,28.15,1.35,-0.64,0.7,1997,3,1,5,0
1997-04-01,110.18,77.23,203.6,156.8,115.8,28.45,2.15,-0.11,-0.02,1997,4,1,1,0
1997-05-01,150.67,74.86,104.6,145.1,140.0,28.62,0.06,-0.24,0.41,1997,5,1,3,0
1997-06-01,63.95,51.26,52.6,148.6,61.6,28.58,-1.04,-0.2,-0.97,1997,6,1,6,0
1997-07-01,122.47,68.39,116.4,146.7,165.4,27.32,0.31,-0.22,0.86,1997,7,1,1,0
1997-08-01,102.03,55.56,68.6,137.3,169.7,27.0,-0.7,-0.32,0.93,1997,8,1,4,0
1997-09-01,64.57,41.24,50.2,163.8,71.7,26.8,-1.09,-0.03,-0.79,1997,9,1,0,0
1997-10-01,38.57,45.53,82.7,191.2,61.1,26.81,-0.4,0.28,-0.98,1997,10,1,2,0
1997-11-01,60.26,53.27,287.3,145.35,65.1,26.91,3.91,-0.03,-0.91,1997,11,1,5,0
1997-12-01,79.4,51.05,101.8,177.24,119.44,27.47,0.0,0.15,0.0,1997,12,1,0,0
1998-01-01,68.03,35.56,50.8,270.8,94.4,27.3,-1.08,1.17,-0.39,1998,1,1,3,0
1998-02-01,49.89,50.89,191.4,195.1,74.1,27.53,1.89,0.32,-0.75,1998,2,1,6,0
1998-03-01,59.74,52.02,190.0,270.8,96.9,27.79,1.86,1.17,-0.35,1998,3,1,6,0
1998-04-01,88.82,67.51,129.1,405.5,169.9,28.14,0.58,2.67,0.94,1998,4,1,2,0
1998-05-01,72.62,68.75,148.0,235.7,97.4,28.46,0.97,0.77,-0.34,1998,5,1,4,0
1998-06-01,133.93,70.02,117.7,201.8,201.1,28.12,0.34,0.4,1.49,1998,6,1,0,0
1998-07-01,105.36,68.71,132.2,171.2,191.7,27.42,0.64,0.05,1.32,1998,7,1,2,0
1998-08-01,61.88,50.71,62.8,98.8,66.1,26.91,-0.82,-0.75,-0.89,1998,8,1,5,0
1998-09-01,41.33,38.19,30.4,55.4,30.7,27.0,-1.51,-1.24,-1.51,1998,9,1,1,0
1998-10-01,75.73,54.81,104.69,88.2,146.2,27.11,0.0,-0.87,0.52,1998,10,1,3,0
1998-11-01,75.73,34.58,57.7,52.2,53.2,27.28,-0.93,-1.28,-1.12,1998,11,1,6,0
1998-12-01,75.73,32.08,40.1,63.6,60.3,27.28,-1.3,-1.15,-0.99,1998,12,1,1,0
1999-01-01,79.51,73.59,139.4,84.0,73.6,27.29,0.79,-0.92,-0.76,1999,1,1,4,0
1999-02-01,75.99,81.75,196.4,231.8,125.2,27.28,2.0,0.73,0.15,1999,2,1,0,0
1999-03-01,69.48,73.21,170.5,197.9,206.7,27.51,1.45,0.35,1.58,1999,3,1,0,0
1999-04-01,173.18,44.95,227.1,233.8,194.9,27.73,2.64,0.75,1.38,1999,4,1,3,0
1999-05-01,136.87,55.23,189.1,288.0,113.8,27.82,1.84,1.36,-0.05,1999,5,1,5,0
